text,intent,category
record 1663 earned from scholarship on 19 January,add_income,
Lunch with friends was 370 rupees,add_expense,
Spent anything on rent?,show_by_category,
I want to check my expenses,show_expenses,
Give me the list of all expenses,show_expenses,
hey there,greeting,
add 1233 received from scholarship on 11 November,add_income,
Expenses for books,show_by_category,
expenses for march,show_by_month,
Tell me my expense history,show_expenses,
income of 774 from freelancing on 06 January,add_income,
Expenses till now?,show_expenses,
What have I spent?,show_expenses,
how much did I spend in april,show_by_month,
Fetch all my expenses,show_expenses,
how much did I spend in May,show_by_month,
Expenses for stationery,show_by_category,
Bought a book for 200 rupees,add_expense,
Show me all expenses,show_expenses,
Found 300 rupees in an old bag,add_income,
add 75 for rent on 27 March,add_expense,
spent on outings,show_by_category,
record 201 spent on fees dated 30 November,add_expense,
Expenses for books,show_by_category,
income of 1743 from part-time job on 03 December,add_income,
I want to see where my money went,show_expenses,
record 1894 earned from dad on 08 January,add_income,
Transport cost me 190 today,add_expense,
What have I spent?,show_expenses,
List my expenses,show_expenses,
rent expense of 408 added on 12 December,add_expense,
Display all spending,show_expenses,
add 2510 received from dad on 14 January,add_income,
Display all spending,show_expenses,
add 549 for fees on 23 December,add_expense,
add 748 for fees on 30 January,add_expense,
Expenses for books,show_by_category,
Give me the expense record,show_expenses,
add 1504 received from dad on 12 December,add_income,
add 861 received from freelancing on 24 October,add_income,
Give me the expense record,show_expenses,
Spent 180 on coffee and cake,add_expense,
show me amount for food,show_by_category,
record 456 spent on rent dated 28 February,add_expense,
what did I spend in August,show_by_month,
record 815 spent on entertainment dated 06 November,add_expense,
what did I spend in january,show_by_month,
Show my groceries expenses,show_by_category,
goodbye,goodbye,
give me february spending,show_by_month,
add 2542 received from scholarship on 10 March,add_income,
add 308 received from part-time job on 28 October,add_income,
what did I spend in january,show_by_month,
income of 1493 from scholarship on 24 February,add_income,
how much did I spend in May,show_by_month,
Show my food expenses,show_by_category,
Show my entertainment expenses,show_by_category,
add 2865 received from freelancing on 12 November,add_income,
transport expense of 355 added on 06 January,add_expense,
Show my books expenses,show_by_category,
Expenses till now?,show_expenses,
how much did I spend in May,show_by_month,
record 442 spent on fees dated 16 November,add_expense,
give me february spending,show_by_month,
Won a gift card worth 400 rupees,add_income,
How much did I spend on entertainment?,show_by_category,
add 1359 received from part-time job on 07 December,add_income,
income of 2170 from part-time job on 19 January,add_income,
show me april expenses,show_by_month,
Display expense list,show_expenses,
Show my expenses,show_expenses,
Used 950 on a short trip,add_expense,
what did I spend in january,show_by_month,
good morning,greeting,
what did I spend in August,show_by_month,
My internship paid 3000 rupees,add_income,
How much did I spend on books?,show_by_category,
show me april expenses,show_by_month,
take care,goodbye,
record 408 earned from freelancing on 18 March,add_income,
Expenses for food,show_by_category,
fees expense of 644 added on 05 April,add_expense,
Received rent from a tenant – 1500 rupees,add_income,
record 910 spent on fees dated 13 March,add_expense,
expenses for march,show_by_month,
Sold an old phone for 2000 rupees,add_income,
record 249 spent on entertainment dated 06 March,add_expense,
Spent anything on clothing?,show_by_category,
record 490 spent on fees dated 22 February,add_expense,
Bought a tote bag for 700 rupees,add_expense,
Spent anything on miscellaneous?,show_by_category,
Show my entertainment expenses,show_by_category,
How much did I spend on entertainment?,show_by_category,
I received 650 for helping with a project,add_income,
I want to see where my money went,show_expenses,
show my spending for December,show_by_month,
I want to see all my spending,show_expenses,
record 1240 earned from dad on 04 March,add_income,
What are my past expenses?,show_expenses,
thanks a lot,thank_you,
Dinner at the restaurant cost me 600,add_expense,
I want to see all my spending,show_expenses,
Show my stationery expenses,show_by_category,
expenses for books,show_by_category,
April balance,show_by_month,
Show my food expenses,show_by_category,
income of 1077 from part-time job on 01 February,add_income,
goodbye,goodbye,
record 412 spent on food dated 05 April,add_expense,
Show me all expenses,show_expenses,
List down all expenses,show_expenses,
What are my past expenses?,show_expenses,
give me february spending,show_by_month,
show me april expenses,show_by_month,
record 761 earned from part-time job on 12 November,add_income,
rent expense of 186 added on 10 December,add_expense,
show expenses for April,show_by_month,
How much did I spend on groceries?,show_by_category,
Spent anything on clothing?,show_by_category,
Received 450 for weekend delivery job,add_income,
Donated 250 rupees to charity,add_expense,
give me february spending,show_by_month,
Friend paid me back 850 rupees,add_income,
income of 2725 from part-time job on 02 March,add_income,
give me february spending,show_by_month,
record 743 spent on rent dated 19 March,add_expense,
How much did I spend on travel?,show_by_category,
record 400 earned from freelancing on 09 December,add_income,
Display expense list,show_expenses,
record 2438 earned from dad on 09 December,add_income,
bye,goodbye,
add 1958 received from dad on 17 December,add_income,
hi,greeting,
Spent anything on travel?,show_by_category,
How much did I spend on books?,show_by_category,
Give me the list of all expenses,show_expenses,
good evening,greeting,
Spent anything on entertainment?,show_by_category,
Bought roses for my girlfriend for 300 rupees,add_expense,heart
Spent 500 on a dinner date,add_expense,heart
Gifted a necklace worth 1000,add_expense,heart
"Took my partner to a movie, spent 250",add_expense,heart
Paid 800 for a surprise party for my love,add_expense,heart
Spent 600 on a romantic dinner,add_expense,heart
Bought chocolates for my girlfriend for 200,add_expense,heart
Gifted perfume for 700,add_expense,heart
Bought matching rings for 1500,add_expense,heart
"Booked a resort for anniversary, cost me 2000",add_expense,heart
Bought teddy bear for 350,add_expense,heart
Spent 450 for a romantic photoshoot,add_expense,heart
Gifted earrings worth 900,add_expense,heart
Bought a surprise cake for 300,add_expense,heart
"Took her to amusement park, 1200 spent",add_expense,heart
Spent 1100 on anniversary dinner,add_expense,heart
Got a custom mug printed for 180,add_expense,heart
Bought matching bracelets for 500,add_expense,heart
"Went to beach with her, spent 600",add_expense,heart
Surprised her with 700 rupee gift,add_expense,heart
Bought a cute diary for her for 250,add_expense,heart
Dinner and dessert cost me 650,add_expense,heart
Spent 950 on couple spa,add_expense,heart
Gifted a heart-shaped pendant for 850,add_expense,heart
Spent 300 on bouquet,add_expense,heart
Got concert tickets worth 1500 for both,add_expense,heart
"Took her shopping, spent 2200",add_expense,heart
Dinner cruise cost 2800,add_expense,heart
Picnic expenses were 600,add_expense,heart
Gifted soft toy for 500,add_expense,heart
Personalized photo frame cost 450,add_expense,heart
Sent lunch surprise for 700,add_expense,heart
Wrote her a poem and printed it for 100,add_expense,heart
Custom couple T-shirts for 1200,add_expense,heart
"Movie tickets for two, 500",add_expense,heart
Bought romantic novel for her for 320,add_expense,heart
"Surprised her with ice cream treat, 180",add_expense,heart
Long drive fuel cost 700,add_expense,heart
"Decorated room with balloons, 400",add_expense,heart
Spent 1300 on dinner and flowers,add_expense,heart
Gifted handmade card and chocolates for 350,add_expense,heart
Arranged violinist surprise for 1600,add_expense,heart
"Ordered matching phone cases, 800",add_expense,heart
Gifted a purse for 900,add_expense,heart
Jewelry box for 1100,add_expense,heart
Special anniversary cake for 500,add_expense,heart
Gifted favorite book set for 1000,add_expense,heart
Customized calendar cost 450,add_expense,heart
Couple bracelets for 650,add_expense,heart
Rented a boat ride for 750,add_expense,heart
